id,tenant_id,business_name,parent_company,business_type,industry,website,phone,email,business_address,billing_address,shipping_address,notes,created_at,updated_at,business_record_type,customer_number,business_site,parent_business,activity,description,fax,next_call_back,billing_city,billing_state,billing_zip,shipping_city,shipping_state,shipping_zip,customer_since,employees,annual_revenue,number_of_locations,sic_code,product_services_interest,number_of_steps_rights,special_delivery_instructions,tax_state,elevator,created_by,business_owner,last_modified_by
82bd93a2-bf40-45f6-8446-911b8c3e238e,550e8400-e29b-41d4-a716-446655440000,Unity Point Clinic,,,,,5152853200,,,801 Colonial Cir,,,2026-01-21 14:39:40.258417,2026-01-21 14:39:40.258417,Customer,,,,,,,,Norwalk,IA,50211,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
98aec74d-55af-437c-9827-23c65bd2627c,550e8400-e29b-41d4-a716-446655440000,BILD INTERNATIONAL,,,,,515-290-4977,,,2400 Oakwood Rd,,,2026-01-20 22:59:51.886972,2026-01-20 22:59:51.886972,Customer,,,,,,,,AMES,IA,50014,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
99b3cfea-fe7f-4751-99f3-98a4e3dd1782,550e8400-e29b-41d4-a716-446655440000,BILD INTERNATIONAL,,,,,5152927012,,,2400 Oakwood Rd,,,2026-01-20 22:59:52.005443,2026-01-20 22:59:52.005443,Customer,,,,,,,,AMES,IA,50014,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
9f03abcc-f3d8-4edf-b9b1-f788351db710,550e8400-e29b-41d4-a716-446655440000,BILD INTERNATIONAL,,,,,5152927012,,,2400 Oakwood Rd,,,2026-01-20 23:00:21.049265,2026-01-20 23:00:21.049265,Customer,,,,,,,,AMES,IA,50014,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
adc117e7-611d-426a-b569-6c6c0bdaf750,550e8400-e29b-41d4-a716-446655440000,Customercompany (Recovered),,,,,,mike@customercompany.com,,,,,2026-01-15 17:32:31.52834,2026-01-15 17:32:31.52834,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,
b227b173-ff76-490d-8629-6900d6c9f1d0,550e8400-e29b-41d4-a716-446655440000,Lead Company,,,,,,,,,,,2025-08-04 21:03:07.442684,2025-08-04 21:03:07.442684,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,
c69e9aa9-5867-4520-a7e9-6e1f419eaf7e,550e8400-e29b-41d4-a716-446655440000,BILD INTERNATIONAL,,,,,515-290-4977,,,2400 Oakwood Rd,,,2026-01-20 23:00:20.890035,2026-01-20 23:00:20.890035,Customer,,,,,,,,AMES,IA,50014,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
cd0bb1e1-7e53-47c1-8afa-2a524bef1a9c,550e8400-e29b-41d4-a716-446655440000,UNITY POINT HEALTH PRINT SHOP,,,,,5152522625,,,1601 SE Gateway Dr,,,2026-01-21 14:39:40.40878,2026-01-21 14:39:40.40878,Customer,,,,,,,,GRIMES,IA,50111,,,,,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,
e12a09c0-2620-4b05-9cad-1532ba47bb9f,550e8400-e29b-41d4-a716-446655440000,ClaimDOC,,,,,5151221515,jeremy@claim-doc.com,,,,,2026-01-15 18:35:21.756,2026-01-15 18:35:21.756,Customer,,,,,,,,,,,,,,2026-01-15 18:35:21.756,,,,,,,,,,e1d7f9b5-57f0-4e04-8376-d3cd71e65b46,,
e620280d-b634-413f-ba65-9b177523cd95,550e8400-e29b-41d4-a716-446655440000,Gmail (Recovered),,,,,,TDurden@gmail.com,,,,,2026-01-15 17:32:31.52834,2026-01-15 17:32:31.52834,Customer,,,,,,,,,,,,,,,,,,,,,,,,,,
